"","Overall"
"ENSG00000001626",19.0410561660561
"ENSG00000006611",20.8796245415226
"ENSG00000012124",23.911614448985
"ENSG00000013588",16.8342874180084
"ENSG00000073282",11.2777777777778
"ENSG00000083454",25.8299201161946
"ENSG00000086205",54.1247346546161
"ENSG00000091513",27.0449629449025
"ENSG00000096696",24.208710109254
"ENSG00000105509",48.0230017507542
"ENSG00000107485",53.9215504839565
"ENSG00000109472",27.991397028897
"ENSG00000115221",7.34920634920634
"ENSG00000115468",62.1690103709432
"ENSG00000118526",41.9607119484766
"ENSG00000118785",7.07777777777777
"ENSG00000119866",11.2777777777778
"ENSG00000119888",22.2692307692307
"ENSG00000121900",86.8942011417843
"ENSG00000122025",86.8942011417843
"ENSG00000131910",22.3846153846154
"ENSG00000132698",22.0957053154552
"ENSG00000133980",143.288905455433
"ENSG00000134757",11.2777777777778
"ENSG00000135903",107.792177152244
"ENSG00000137265",76.539272945594
"ENSG00000137673",8.16666666666666
"ENSG00000138079",22.9746995464855
"ENSG00000141448",38.8601674360719
"ENSG00000143340",41.5262451938422
"ENSG00000144339",25.8251595861763
"ENSG00000144681",3.65741155396326
"ENSG00000146038",20.8477269023954
"ENSG00000153303",17.2571853221092
"ENSG00000158089",48.0844941315494
"ENSG00000162482",18.2711930926216
"ENSG00000163202",15.7340189131343
"ENSG00000164107",28.0001562124488
"ENSG00000164175",25.9764202085568
"ENSG00000164647",3.65741155396326
"ENSG00000164690",22.3846153846154
"ENSG00000165478",27.9783911650788
"ENSG00000165646",28.9675318597452
"ENSG00000166741",7.34920634920634
"ENSG00000170476",25.8299201161946
"ENSG00000173080",17.8987742779611
"ENSG00000173267",14.6326621923937
"ENSG00000176769",24.3491421725922
"ENSG00000177511",40.5010130445382
"ENSG00000177807",52.0470570912895
"ENSG00000178568",19.7824326211422
"ENSG00000179796",7.34920634920634
"ENSG00000182612",3.65741155396327
"ENSG00000183421",50.7005882034642
"ENSG00000184012",80.6161578241589
"ENSG00000184937",68.9149404218432
"ENSG00000185101",25.8150477521546
"ENSG00000185479",33.2743301182566
"ENSG00000185966",16.0226567608554
"ENSG00000185985",5.85221674876845
"ENSG00000188064",32.3804691600239
"ENSG00000188488",49.5667141500474
"ENSG00000188822",27.2511870845204
"ENSG00000189001",33.2178201229572
"ENSG00000196090",11.2777777777778
"ENSG00000197705",135.555825104817
"ENSG00000198300",22.3846153846154
"ENSG00000204531",21.5058920543249
"ENSG00000206432",57.9323811665915
"ENSG00000225950",11.2777777777778
"ENSG00000248483",70.1006000687384
"ENSG00000253313",23.8931462737767
"ENSG00000257743",36.710865798153
"ENSG00000259803",15.4542635658914
"ENSG00000261794",55.9874122322447
"ENSG00000265190",17.818178114007
"ENSG00000275410",69.1834781517599
"ENSG00000158486",0
"ENSG00000172137",0
"ENSG00000094963",0
"ENSG00000206072",0
"ENSG00000166634",0
"ENSG00000111863",0
"ENSG00000205362",0
"ENSG00000138669",0
"ENSG00000129455",0
"ENSG00000269113",0
"ENSG00000129451",0
"ENSG00000080031",0
"ENSG00000181649",0
"ENSG00000167880",0
"ENSG00000182667",0
"ENSG00000197444",0
"ENSG00000137440",0
"ENSG00000188385",0
"ENSG00000101680",0
"ENSG00000126562",0
"ENSG00000151012",0
"ENSG00000154975",0
"ENSG00000016602",0
"ENSG00000106809",0
"ENSG00000138152",0
"ENSG00000151632",0
"ENSG00000006377",0
"ENSG00000090382",0
"ENSG00000073756",0
"ENSG00000150750",0
"ENSG00000160867",0
"ENSG00000130545",0
"ENSG00000113361",0
"ENSG00000123572",0
"ENSG00000174950",0
"ENSG00000157150",0
"ENSG00000124664",0
"ENSG00000116299",0
"ENSG00000166535",0
"ENSG00000235961",0
"ENSG00000168243",0
"ENSG00000092009",0
"ENSG00000129596",0
"ENSG00000106633",0
"ENSG00000185565",0
"ENSG00000140937",0
"ENSG00000137868",0
"ENSG00000108602",0
"ENSG00000149575",0
"ENSG00000158246",0
"ENSG00000151572",0
"ENSG00000140832",0
"ENSG00000141469",0
"ENSG00000187134",0
"ENSG00000168743",0
"ENSG00000101144",0
"ENSG00000185499",0
"ENSG00000095203",0
"ENSG00000130234",0
"ENSG00000103449",0
"ENSG00000167434",0
"ENSG00000150893",0
"ENSG00000160183",0
"ENSG00000157399",0
"ENSG00000197261",0
"ENSG00000124731",0
"ENSG00000137648",0
"ENSG00000113389",0
"ENSG00000188959",0
"ENSG00000204967",0
"ENSG00000275395",0
"ENSG00000167157",0
"ENSG00000145832",0
"ENSG00000172927",0
"ENSG00000122756",0
"ENSG00000124253",0
"ENSG00000126218",0
"ENSG00000185156",0
"ENSG00000183742",0
"ENSG00000267795",0
"ENSG00000076864",0
"ENSG00000154764",0
"ENSG00000164796",0
"ENSG00000162069",0
"ENSG00000143536",0
"ENSG00000064205",0
"ENSG00000069011",0
"ENSG00000133083",0
"ENSG00000158164",0
"ENSG00000060709",0
"ENSG00000115648",0
"ENSG00000145287",0
"ENSG00000115112",0
"ENSG00000100079",0
"ENSG00000179674",0
"ENSG00000198074",0
"ENSG00000205929",0
"ENSG00000127324",0
"ENSG00000131746",0
"ENSG00000181449",0
"ENSG00000138028",0
"ENSG00000158055",0
"ENSG00000005001",0
"ENSG00000105707",0
"ENSG00000137975",0
"ENSG00000188833",0
"ENSG00000203785",0
"ENSG00000141579",0
"ENSG00000122133",0
"ENSG00000130762",0
"ENSG00000176049",0
"ENSG00000177508",0
"ENSG00000072041",0
"ENSG00000172156",0
"ENSG00000172318",0
"ENSG00000255398",0
"ENSG00000164695",0
"ENSG00000117472",0
"ENSG00000167311",0
"ENSG00000016402",0
"ENSG00000242515",0
"ENSG00000069764",0
"ENSG00000158258",0
"ENSG00000183844",0
"ENSG00000114771",0
"ENSG00000102003",0
"ENSG00000204128",0
"ENSG00000100867",0
"ENSG00000149573",0
"ENSG00000141744",0
"ENSG00000145824",0
"ENSG00000149418",0
"ENSG00000188916",0
"ENSG00000162989",0
"ENSG00000109265",0
"ENSG00000154620",0
"ENSG00000011347",0
"ENSG00000104112",0
"ENSG00000135472",0
"ENSG00000171126",0
"ENSG00000164935",0
"ENSG00000058085",0
"ENSG00000108242",0
"ENSG00000160886",0
"ENSG00000165092",0
"ENSG00000178172",0
"ENSG00000169218",0
"ENSG00000165816",0
"ENSG00000187957",0
"ENSG00000138308",0
"ENSG00000088002",0
"ENSG00000172061",0
"ENSG00000171401",0
"ENSG00000103546",0
"ENSG00000135960",0
"ENSG00000261857",0
"ENSG00000230873",0
"ENSG00000223572",0
"ENSG00000115616",0
"ENSG00000157502",0
"ENSG00000124466",0
"ENSG00000124749",0
"ENSG00000179593",0
"ENSG00000125798",0
"ENSG00000089356",0
"ENSG00000148942",0
"ENSG00000145423",0
"ENSG00000241186",0
"ENSG00000106025",0
"ENSG00000146013",0
"ENSG00000172005",0
"ENSG00000149527",0
"ENSG00000172000",0
"ENSG00000005073",0
"ENSG00000176153",0
"ENSG00000186684",0
"ENSG00000129194",0
"ENSG00000254656",0
"ENSG00000133710",0
"ENSG00000130701",0
"ENSG00000204616",0
"ENSG00000197576",0
"ENSG00000166510",0
"ENSG00000163888",0
"ENSG00000099954",0
"ENSG00000108176",0
"ENSG00000198576",0
"ENSG00000181885",0
"ENSG00000128218",0
"ENSG00000186603",0
"ENSG00000116745",0
"ENSG00000114248",0
"ENSG00000198910",0
"ENSG00000134115",0
"ENSG00000183760",0
"ENSG00000196542",0
"ENSG00000105880",0
"ENSG00000008394",0
"ENSG00000159387",0
"ENSG00000198443",0
"ENSG00000188761",0
"ENSG00000175084",0
"ENSG00000124429",0
"ENSG00000164379",0
"ENSG00000196616",0
"ENSG00000132464",0
"ENSG00000175785",0
"ENSG00000128510",0
"ENSG00000164398",0
"ENSG00000133392",0
"ENSG00000170837",0
"ENSG00000112280",0
"ENSG00000183036",0
"ENSG00000165474",0
"ENSG00000204065",0
"ENSG00000233608",0
"ENSG00000186204",0
"ENSG00000153294",0
"ENSG00000197565",0
"ENSG00000166206",0
"ENSG00000171724",0
"ENSG00000167617",0
"ENSG00000165215",0
"ENSG00000101311",0
"ENSG00000109819",0
"ENSG00000048462",0
"ENSG00000168143",0
"ENSG00000163362",0
"ENSG00000121552",0
"ENSG00000189143",0
"ENSG00000155761",0
"ENSG00000184731",0
"ENSG00000198729",0
"ENSG00000204936",0
"ENSG00000176399",0
"ENSG00000167608",0
"ENSG00000136002",0
"ENSG00000196754",0
"ENSG00000237289",0
"ENSG00000269405",0
"ENSG00000162981",0
"ENSG00000166573",0
"ENSG00000205517",0
"ENSG00000156687",0
"ENSG00000048540",0
"ENSG00000133134",0
"ENSG00000074410",0
"ENSG00000110680",0
"ENSG00000124212",0
"ENSG00000102230",0
"ENSG00000102287",0
"ENSG00000184305",0
"ENSG00000172346",0
"ENSG00000169213",0
"ENSG00000089199",0
"ENSG00000056487",0
"ENSG00000075340",0
"ENSG00000206075",0
"ENSG00000205363",0
"ENSG00000163220",0
"ENSG00000187889",0
"ENSG00000147642",0
"ENSG00000179399",0
"ENSG00000160862",0
"ENSG00000147234",0
"ENSG00000112232",0
"ENSG00000156463",0
"ENSG00000066382",0
"ENSG00000100433",0
"ENSG00000103044",0
"ENSG00000203995",0
"ENSG00000142765",0
"ENSG00000185681",0
"ENSG00000064655",0
"ENSG00000128285",0
"ENSG00000136235",0
"ENSG00000135917",0
"ENSG00000115884",0
"ENSG00000143627",0
"ENSG00000174808",0
"ENSG00000178965",0
"ENSG00000178795",0
"ENSG00000221882",0
"ENSG00000100558",0
"ENSG00000174740",0
"ENSG00000257335",0
"ENSG00000204961",0
"ENSG00000266524",0
"ENSG00000156510",0
"ENSG00000115414",0
"ENSG00000064270",0
"ENSG00000149534",0
"ENSG00000177182",0
"ENSG00000187243",0
"ENSG00000136297",0
"ENSG00000112981",0
"ENSG00000160180",0
"ENSG00000164188",0
"ENSG00000109101",0
"ENSG00000148344",0
"ENSG00000198732",0
"ENSG00000169515",0
"ENSG00000154227",0
"ENSG00000106541",0
"ENSG00000131650",0
"ENSG00000157404",0
"ENSG00000168032",0
"ENSG00000186377",0
"ENSG00000109272",0
"ENSG00000079689",0
"ENSG00000140465",0
"ENSG00000197415",0
"ENSG00000184672",0
"ENSG00000133048",0
"ENSG00000186832",0
"ENSG00000105523",0
"ENSG00000137273",0
"ENSG00000106483",0
"ENSG00000101463",0
"ENSG00000165300",0
"ENSG00000106536",0
"ENSG00000184363",0
"ENSG00000112378",0
"ENSG00000153253",0
"ENSG00000241935",0
"ENSG00000179178",0
"ENSG00000163993",0
"ENSG00000143341",0
"ENSG00000118004",0
"ENSG00000170214",0
"ENSG00000152467",0
"ENSG00000049283",0
"ENSG00000153132",0
"ENSG00000152766",0
"ENSG00000140274",0
"ENSG00000178363",0
"ENSG00000074211",0
"ENSG00000101542",0
"ENSG00000023839",0
"ENSG00000167183",0
"ENSG00000092758",0
"ENSG00000137203",0
"ENSG00000177494",0
"ENSG00000196878",0
"ENSG00000175229",0
"ENSG00000254521",0
"ENSG00000145879",0
"ENSG00000203837",0
"ENSG00000159166",0
"ENSG00000072657",0
"ENSG00000129514",0
"ENSG00000185306",0
"ENSG00000166922",0
"ENSG00000068078",0
"ENSG00000189221",0
"ENSG00000152092",0
"ENSG00000172201",0
"ENSG00000114948",0
"ENSG00000130700",0
"ENSG00000121871",0
"ENSG00000101333",0
"ENSG00000149948",0
"ENSG00000162896",0
"ENSG00000085552",0
"ENSG00000062038",0
"ENSG00000135063",0
"ENSG00000173156",0
"ENSG00000183840",0
"ENSG00000164530",0
"ENSG00000107518",0
"ENSG00000106031",0
"ENSG00000127241",0
"ENSG00000169469",0
"ENSG00000165731",0
"ENSG00000197632",0
"ENSG00000127249",0
"ENSG00000204544",0
"ENSG00000168542",0
"ENSG00000187867",0
"ENSG00000138759",0
"ENSG00000086548",0
"ENSG00000248329",0
"ENSG00000152377",0
"ENSG00000106688",0
"ENSG00000183770",0
"ENSG00000099960",0
"ENSG00000152932",0
"ENSG00000170421",0
"ENSG00000127129",0
"ENSG00000106772",0
"ENSG00000167654",0
"ENSG00000143365",0
"ENSG00000188803",0
"ENSG00000169474",0
"ENSG00000167757",0
"ENSG00000164093",0
"ENSG00000188883",0
"ENSG00000155066",0
"ENSG00000185760",0
"ENSG00000170419",0
"ENSG00000125850",0
"ENSG00000165194",0
"ENSG00000140519",0
"ENSG00000109255",0
"ENSG00000150556",0
"ENSG00000198756",0
"ENSG00000145526",0
"ENSG00000087510",0
"ENSG00000188848",0
"ENSG00000005187",0
"ENSG00000261115",0
"ENSG00000182256",0
"ENSG00000120659",0
"ENSG00000085563",0
"ENSG00000135750",0
"ENSG00000016391",0
"ENSG00000006747",0
"ENSG00000198753",0
"ENSG00000188505",0
"ENSG00000126950",0
"ENSG00000165376",0
"ENSG00000149403",0
"ENSG00000184515",0
"ENSG00000176887",0
"ENSG00000184860",0
"ENSG00000166558",0
"ENSG00000180532",0
"ENSG00000134258",0
"ENSG00000196549",0
"ENSG00000106538",0
"ENSG00000168671",0
"ENSG00000163497",0
"ENSG00000102554",0
"ENSG00000147041",0
"ENSG00000242265",0
"ENSG00000144063",0
"ENSG00000175164",0
"ENSG00000204175",0
"ENSG00000101825",0
"ENSG00000203722",0
"ENSG00000104892",0
"ENSG00000101443",0
"ENSG00000183837",0
"ENSG00000130176",0
"ENSG00000135406",0
"ENSG00000167644",0
"ENSG00000134184",0
"ENSG00000108846",0
"ENSG00000163898",0
"ENSG00000182013",0
"ENSG00000123496",0
"ENSG00000170549",0
"ENSG00000163435",0
"ENSG00000166257",0
"ENSG00000158458",0
"ENSG00000142273",0
"ENSG00000166828",0
"ENSG00000170465",0
"ENSG00000164078",0
"ENSG00000168621",0
"ENSG00000153707",0
"ENSG00000129009",0
"ENSG00000119946",0
"ENSG00000133488",0
"ENSG00000256812",0
"ENSG00000140279",0
"ENSG00000244731",0
"ENSG00000160161",0
"ENSG00000171124",0
"ENSG00000176842",0
"ENSG00000183317",0
"ENSG00000189410",0
"ENSG00000130768",0
"ENSG00000125508",0
"ENSG00000171094",0
"ENSG00000163017",0
"ENSG00000123892",0
"ENSG00000204963",0
"ENSG00000162949",0
"ENSG00000136542",0
"ENSG00000131409",0
"ENSG00000108375",0
"ENSG00000170298",0
"ENSG00000130822",0
"ENSG00000119457",0
"ENSG00000173404",0
"ENSG00000172818",0
"ENSG00000117595",0
"ENSG00000163618",0
"ENSG00000131037",0
"ENSG00000178538",0
"ENSG00000163075",0
"ENSG00000135697",0
"ENSG00000185924",0
"ENSG00000169583",0
"ENSG00000229676",0
"ENSG00000137747",0
"ENSG00000141738",0
"ENSG00000164520",0
"ENSG00000150627",0
"ENSG00000147206",0
"ENSG00000154269",0
"ENSG00000104140",0
"ENSG00000065609",0
"ENSG00000165125",0
"ENSG00000243509",0
"ENSG00000041353",0
"ENSG00000170786",0
"ENSG00000101213",0
"ENSG00000177459",0
"ENSG00000133135",0
"ENSG00000157087",0
"ENSG00000260230",0
"ENSG00000136698",0
"ENSG00000112936",0
"ENSG00000132470",0
"ENSG00000103460",0
"ENSG00000120907",0
"ENSG00000184828",0
"ENSG00000157168",0
"ENSG00000124780",0
"ENSG00000197635",0
"ENSG00000115290",0
"ENSG00000108813",0
"ENSG00000077264",0
"ENSG00000105976",0
"ENSG00000006555",0
"ENSG00000141314",0
"ENSG00000069535",0
"ENSG00000150051",0
"ENSG00000169509",0
"ENSG00000182782",0
"ENSG00000184254",0
"ENSG00000156413",0
"ENSG00000129946",0
"ENSG00000139304",0
"ENSG00000132854",0
"ENSG00000139865",0
"ENSG00000184905",0
"ENSG00000204442",0
"ENSG00000178750",0
"ENSG00000012504",0
"ENSG00000107984",0
"ENSG00000205358",0
"ENSG00000205456",0
"ENSG00000148204",0
"ENSG00000180730",0
"ENSG00000142449",0
"ENSG00000091831",0
"ENSG00000101115",0
"ENSG00000101230",0
"ENSG00000082556",0
"ENSG00000166183",0
"ENSG00000164161",0
"ENSG00000142973",0
"ENSG00000141052",0
"ENSG00000101489",0
"ENSG00000095713",0
"ENSG00000005102",0
"ENSG00000143816",0
"ENSG00000151365",0
"ENSG00000145198",0
"ENSG00000174498",0
"ENSG00000236699",0
"ENSG00000205002",0
"ENSG00000148053",0
"ENSG00000146151",0
"ENSG00000171877",0
"ENSG00000163739",0
"ENSG00000175426",0
"ENSG00000163347",0
"ENSG00000144354",0
"ENSG00000140287",0
"ENSG00000176920",0
"ENSG00000133063",0
"ENSG00000165105",0
"ENSG00000189292",0
"ENSG00000164251",0
"ENSG00000184995",0
"ENSG00000166959",0
"ENSG00000151715",0
"ENSG00000167656",0
"ENSG00000021300",0
"ENSG00000165443",0
"ENSG00000105131",0
"ENSG00000183166",0
"ENSG00000132437",0
"ENSG00000184697",0
"ENSG00000241484",0
"ENSG00000131094",0
"ENSG00000111249",0
"ENSG00000133101",0
"ENSG00000128713",0
"ENSG00000144285",0
"ENSG00000008323",0
"ENSG00000149043",0
"ENSG00000145777",0
"ENSG00000152779",0
"ENSG00000180440",0
"ENSG00000114638",0
"ENSG00000140600",0
"ENSG00000109321",0
"ENSG00000041515",0
"ENSG00000178662",0
"ENSG00000147697",0
"ENSG00000143375",0
"ENSG00000133477",0
"ENSG00000081479",0
"ENSG00000143469",0
"ENSG00000100557",0
"ENSG00000182916",0
"ENSG00000206579",0
"ENSG00000105289",0
"ENSG00000164694",0
"ENSG00000164692",0
"ENSG00000139910",0
"ENSG00000153446",0
"ENSG00000125851",0
"ENSG00000169760",0
"ENSG00000186867",0
"ENSG00000143196",0
"ENSG00000158806",0
"ENSG00000100033",0
"ENSG00000155816",0
"ENSG00000159374",0
"ENSG00000163734",0
"ENSG00000262406",0
"ENSG00000163331",0
"ENSG00000160973",0
"ENSG00000140297",0
"ENSG00000165269",0
"ENSG00000130294",0
"ENSG00000117069",0
"ENSG00000138271",0
"ENSG00000087258",0
"ENSG00000103316",0
"ENSG00000105357",0
"ENSG00000181374",0
"ENSG00000125731",0
"ENSG00000213424",0
"ENSG00000052850",0
"ENSG00000081842",0
"ENSG00000136155",0
"ENSG00000145708",0
"ENSG00000173391",0
"ENSG00000165186",0
"ENSG00000145362",0
"ENSG00000137857",0
"ENSG00000154545",0
"ENSG00000143546",0
"ENSG00000171903",0
"ENSG00000123388",0
"ENSG00000115041",0
"ENSG00000115008",0
"ENSG00000128610",0
"ENSG00000179023",0
"ENSG00000103067",0
"ENSG00000206549",0
"ENSG00000083307",0
"ENSG00000134755",0
"ENSG00000239389",0
"ENSG00000085276",0
"ENSG00000151640",0
"ENSG00000162631",0
"ENSG00000205038",0
"ENSG00000134121",0
"ENSG00000019505",0
"ENSG00000106258",0
"ENSG00000168824",0
"ENSG00000169302",0
"ENSG00000120075",0
"ENSG00000182379",0
"ENSG00000177103",0
"ENSG00000073737",0
"ENSG00000123500",0
"ENSG00000178826",0
"ENSG00000080493",0
"ENSG00000115828",0
"ENSG00000144891",0
"ENSG00000092051",0
"ENSG00000169083",0
"ENSG00000185274",0
"ENSG00000147676",0
"ENSG00000066230",0
"ENSG00000134363",0
"ENSG00000179542",0
"ENSG00000187323",0
"ENSG00000176490",0
"ENSG00000157551",0
"ENSG00000163884",0
"ENSG00000164488",0
"ENSG00000185008",0
"ENSG00000018236",0
"ENSG00000011465",0
"ENSG00000155886",0
"ENSG00000107317",0
"ENSG00000161798",0
"ENSG00000118322",0
"ENSG00000179913",0
"ENSG00000169894",0
"ENSG00000181378",0
"ENSG00000113396",0
"ENSG00000152669",0
"ENSG00000139874",0
"ENSG00000069812",0
"ENSG00000164855",0
"ENSG00000142494",0
"ENSG00000124839",0
"ENSG00000106004",0
"ENSG00000170689",0
"ENSG00000088726",0
"ENSG00000188112",0
"ENSG00000108924",0
"ENSG00000121742",0
"ENSG00000132563",0
"ENSG00000197641",0
"ENSG00000136883",0
"ENSG00000152785",0
"ENSG00000243955",0
"ENSG00000251664",0
"ENSG00000171345",0
"ENSG00000268104",0
"ENSG00000154639",0
"ENSG00000162105",0
"ENSG00000184613",0
"ENSG00000133169",0
"ENSG00000078328",0
"ENSG00000101977",0
"ENSG00000186198",0
"ENSG00000149294",0
"ENSG00000196482",0
"ENSG00000105664",0
"ENSG00000139352",0
"ENSG00000186479",0
"ENSG00000047662",0
"ENSG00000091129",0
"ENSG00000187017",0
"ENSG00000168447",0
"ENSG00000232040",0
"ENSG00000171004",0
"ENSG00000143320",0
"ENSG00000125675",0
"ENSG00000135324",0
"ENSG00000102837",0
"ENSG00000115361",0
"ENSG00000156284",0
"ENSG00000079385",0
"ENSG00000043039",0
"ENSG00000135480",0
"ENSG00000125848",0
"ENSG00000108381",0
"ENSG00000173597",0
"ENSG00000077279",0
"ENSG00000167741",0
"ENSG00000187773",0
"ENSG00000154654",0
"ENSG00000115598",0
"ENSG00000125144",0
"ENSG00000154274",0
"ENSG00000120068",0
"ENSG00000144057",0
"ENSG00000121075",0
"ENSG00000254709",0
"ENSG00000104537",0
"ENSG00000165973",0
"ENSG00000196109",0
"ENSG00000173114",0
"ENSG00000173452",0
"ENSG00000144847",0
"ENSG00000204335",0
"ENSG00000137843",0
"ENSG00000197360",0
"ENSG00000113196",0
"ENSG00000170743",0
"ENSG00000124205",0
"ENSG00000103534",0
"ENSG00000108821",0
"ENSG00000095752",0
"ENSG00000175093",0
"ENSG00000168453",0
"ENSG00000101049",0
"ENSG00000211448",0
"ENSG00000185567",0
"ENSG00000172209",0
"ENSG00000177839",0
"ENSG00000006606",0
"ENSG00000144191",0
"ENSG00000197977",0
"ENSG00000178828",0
"ENSG00000242366",0
"ENSG00000078399",0
"ENSG00000176406",0
"ENSG00000163501",0
"ENSG00000171798",0
"ENSG00000167105",0
"ENSG00000163814",0
"ENSG00000182771",0
"ENSG00000159307",0
"ENSG00000100078",0
"ENSG00000114757",0
"ENSG00000205835",0
"ENSG00000137699",0
"ENSG00000114270",0
"ENSG00000119973",0
"ENSG00000214402",0
"ENSG00000128709",0
"ENSG00000145794",0
"ENSG00000164287",0
"ENSG00000140015",0
"ENSG00000147481",0
"ENSG00000176532",0
"ENSG00000119547",0
"ENSG00000134042",0
"ENSG00000109625",0
"ENSG00000167080",0
"ENSG00000125355",0
"ENSG00000237515",0
"ENSG00000128422",0
"ENSG00000185860",0
"ENSG00000169594",0
"ENSG00000189058",0
"ENSG00000108018",0
"ENSG00000021645",0
"ENSG00000139973",0
"ENSG00000173376",0
"ENSG00000173467",0
"ENSG00000144452",0
"ENSG00000150471",0
"ENSG00000233670",0
"ENSG00000197757",0
"ENSG00000179083",0
"ENSG00000187054",0
"ENSG00000185942",0
"ENSG00000118898",0
"ENSG00000135111",0
"ENSG00000137968",0
"ENSG00000170561",0
"ENSG00000101098",0
"ENSG00000184292",0
"ENSG00000108830",0
"ENSG00000144908",0
"ENSG00000259120",0
"ENSG00000112246",0
"ENSG00000174776",0
"ENSG00000128573",0
"ENSG00000196139",0
"ENSG00000197406",0
"ENSG00000183691",0
"ENSG00000175591",0
"ENSG00000204613",0
"ENSG00000263961",0
"ENSG00000094755",0
"ENSG00000102271",0
"ENSG00000164920",0
"ENSG00000115339",0
"ENSG00000003989",0
"ENSG00000137960",0
"ENSG00000143502",0
"ENSG00000187720",0
"ENSG00000137558",0
"ENSG00000138696",0
"ENSG00000120885",0
"ENSG00000234224",0
"ENSG00000130226",0
"ENSG00000122691",0
"ENSG00000166856",0
"ENSG00000170961",0
"ENSG00000182795",0
"ENSG00000172752",0
"ENSG00000143217",0
"ENSG00000214575",0
"ENSG00000204385",0
"ENSG00000198535",0
"ENSG00000184368",0
"ENSG00000184599",0
"ENSG00000196104",0
"ENSG00000188517",0
"ENSG00000169435",0
"ENSG00000168702",0
"ENSG00000168772",0
"ENSG00000163209",0
"ENSG00000175344",0
"ENSG00000141433",0
"ENSG00000145113",0
"ENSG00000114115",0
"ENSG00000166448",0
"ENSG00000132465",0
"ENSG00000164120",0
"ENSG00000133110",0
"ENSG00000066248",0
"ENSG00000172987",0
"ENSG00000166292",0
"ENSG00000196611",0
"ENSG00000174938",0
"ENSG00000136574",0
"ENSG00000102962",0
"ENSG00000180537",0
"ENSG00000103034",0
"ENSG00000187583",0
"ENSG00000186094",0
"ENSG00000196805",0
"ENSG00000170439",0
"ENSG00000163751",0
"ENSG00000272398",0
"ENSG00000184911",0
"ENSG00000079393",0
"ENSG00000132321",0
"ENSG00000163431",0
"ENSG00000092607",0
"ENSG00000166415",0
"ENSG00000189108",0
"ENSG00000166145",0
"ENSG00000186868",0
"ENSG00000138675",0
"ENSG00000146938",0
"ENSG00000105427",0
"ENSG00000140254",0
"ENSG00000148488",0
"ENSG00000109193",0
"ENSG00000152093",0
"ENSG00000103241",0
"ENSG00000186115",0
"ENSG00000009694",0
